City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,karangampel,-6.4622,108.4519,86.67,60,17,11.41,ID,1698721406
154,matoury,4.8483,-52.3317,80.56,94,75,1.14,GF,1698721406
155,namibe,-15.1961,12.1522,63.45,79,0,4.92,AO,1698721406
156,bengkulu,-3.8004,102.2655,81.55,74,40,5.68,ID,1698721406
157,paipa,5.7801,-73.1171,55.29,95,97,0.94,CO,1698721406
158,rumoi,43.9344,141.6428,57.69,64,64,6.06,JP,1698721407
159,lebu,-37.6167,-73.65,45.25,82,94,8.75,CL,1698721306
160,tralee,52.2704,-9.7026,49.87,88,85,5.3,IE,1698721407
161,port lincoln,-34.7333,135.8667,60.62,46,30,11.39,AU,1698721407
162,port saint john's,-31.6229,29.5448,58.75,87,100,6.85,ZA,1698721407
163,lata,40.1629,-8.3327,52.07,93,100,3.33,PT,1698721407
164,keflavik,64.0049,-22.5624,37.83,75,75,12.66,IS,1698721408
165,nanticoke,41.2054,-76.0049,46.81,91,98,1.01,US,1698721375
166,virac,13.6333,124.2167,74.3,87,100,9.8,PH,1698721408
167,remire-montjoly,4.9167,-52.2667,80.64,94,75,1.14,GF,1698721408
168,jamaame,0.0697,42.745,77.58,86,54,3.4,SO,1698721408
169,hamilton,39.1834,-84.5333,39.4,82,5,3.0,US,1698721243
170,scone,56.4194,-3.4051,43.97,79,61,4.0,GB,1698721409
171,west island,-12.1568,96.8225,82.38,78,75,14.97,CC,1698721409
172,udachny,66.4167,112.4,-4.16,97,100,6.08,RU,1698721409
173,chul'man,56.8479,124.9104,3.79,90,100,1.66,RU,1698721409
174,ribnica na pohorju,46.535,15.2728,55.38,93,100,12.08,SI,1698721409
175,casablanca,33.5928,-7.6192,68.32,77,100,5.99,MA,1698721157
176,eyl,7.9803,49.8164,79.61,79,85,10.94,SO,1698721410
177,st. john's,47.5649,-52.7093,34.79,94,100,6.91,CA,1698721187
178,howrah,22.5892,88.3103,80.6,78,40,0.0,IN,1698721208
179,bang len,14.0219,100.1718,82.35,89,99,13.65,TH,1698721410
180,xacmaz,41.4635,48.806,55.76,68,11,4.7,AZ,1698721410
181,colonia,50.9333,6.95,51.85,87,40,8.05,DE,1698721209
182,pisco,-13.7,-76.2167,67.01,82,15,16.11,PE,1698721411
183,leava,-14.3,-178.1667,82.63,79,21,11.05,WF,1698721411
184,kuqa,41.7278,82.9364,58.46,36,100,4.7,CN,1698721411
185,zamora,-4.0692,-78.9567,69.17,99,100,3.11,EC,1698721166
186,kingston,17.997,-76.7936,83.35,85,75,4.61,JM,1698721271
187,malango,-2.9627,119.9001,87.75,40,25,5.32,ID,1698721411
188,labasa,-16.4167,179.3833,83.55,77,76,3.69,FJ,1698721412
189,guigang,23.0964,109.6092,77.4,65,94,7.0,CN,1698721412
190,gadzhiyevo,69.2551,33.3362,21.79,93,100,11.32,RU,1698721371
191,touros,-5.1989,-35.4608,77.47,72,48,11.36,BR,1698721412
192,whangarei,-35.7317,174.3239,64.38,98,88,7.0,NZ,1698721412
193,magadan,59.5667,150.8,31.53,75,76,8.14,RU,1698721412
194,georgetown,5.4112,100.3354,89.53,83,20,3.44,MY,1698721400
195,aioun,16.6614,-9.6149,83.41,34,8,1.99,MR,1698721413
196,dunedin,-45.8742,170.5036,59.81,75,100,7.0,NZ,1698721356
197,gummi,12.1436,5.1081,78.37,25,73,6.76,NG,1698721413
198,carauari,-4.8828,-66.8958,79.47,70,39,2.13,BR,1698721413
199,lamu,-2.2717,40.902,75.42,88,11,8.08,KE,1698721413
200,chowchilla,37.123,-120.2602,60.75,23,0,0.0,US,1698721397
201,arrifes,37.7667,-25.7,64.65,82,40,11.5,PT,1698721414
202,kardla,58.9978,22.7492,35.06,96,100,13.11,EE,1698721414
203,kittila,67.6647,24.8936,8.74,92,75,1.14,FI,1698721414
204,aneho,6.2333,1.6,75.4,83,86,5.99,TG,1698721414
205,rabo de peixe,37.8,-25.5833,65.71,99,40,11.5,PT,1698721414
206,afaahiti,-17.75,-149.2833,80.47,82,39,19.55,PF,1698721415
207,sao felix do xingu,-6.6447,-51.995,76.3,55,28,0.72,BR,1698721415
208,sal'sk,46.4725,41.5428,54.88,70,35,7.0,RU,1698721415
209,altamira,-3.2033,-52.2064,78.71,57,9,0.72,BR,1698721200
210,iskilip,40.7353,34.4739,58.68,69,100,2.15,TR,1698721415
211,qaqortoq,60.7167,-46.0333,42.1,61,99,26.24,GL,1698721416
212,akjoujt,19.6969,-14.4164,81.97,17,5,7.31,MR,1698721416
213,zhezqazghan,47.7833,67.7667,34.38,86,100,17.9,KZ,1698721416
214,masterton,-40.9597,175.6575,63.36,88,95,8.46,NZ,1698721416
215,stanley,54.868,-1.6985,44.76,95,75,5.75,GB,1698721416
216,torghay,49.6339,63.4981,36.01,75,25,16.22,KZ,1698721416
217,mount isa,-20.7333,139.5,100.17,20,19,5.75,AU,1698721246
218,elumalai,9.8667,77.7,77.9,76,100,2.59,IN,1698721417
219,vernon,50.2581,-119.2691,34.29,71,25,2.3,CA,1698721188
220,mount gambier,-37.8333,140.7667,57.74,46,82,9.42,AU,1698721294
221,beatrice,40.2681,-96.747,37.18,59,0,5.75,US,1698721417
222,kapuskasing,49.4169,-82.4331,21.29,93,0,6.91,CA,1698721324
223,saynshand,44.8824,110.1163,39.85,44,51,5.61,MN,1698721417
224,island harbour,50.724,-1.2758,51.98,92,100,10.67,GB,1698721418
225,cambria,35.5641,-121.0808,64.63,38,0,1.99,US,1698721418
226,ancud,-41.8697,-73.8203,45.54,75,8,8.95,CL,1698721225
227,fort st. john,56.2499,-120.8529,39.09,52,75,5.75,CA,1698721225
228,ouesso,1.6136,16.0517,71.87,95,100,1.45,CG,1698721418
229,swan hill,-35.3378,143.5544,70.25,17,23,10.36,AU,1698721419
230,sur,22.5667,59.5289,78.53,62,12,6.89,OM,1698721419
231,jamestown,42.097,-79.2353,40.59,80,100,8.05,US,1698721133
232,yucheng,34.9289,116.4653,80.37,31,4,12.77,CN,1698721419
233,nova sintra,14.8667,-24.7167,74.39,67,64,2.62,CV,1698721419
234,kamina,-8.7386,24.9906,65.1,96,100,4.76,CD,1698721419
235,lompoc,34.6391,-120.4579,60.94,89,0,3.44,US,1698721239
236,crane,31.3974,-102.3501,40.55,48,1,4.43,US,1698721125
237,vila franca do campo,37.7167,-25.4333,66.61,99,67,10.36,PT,1698721420
238,benidorm,38.5382,-0.131,64.78,53,100,6.78,ES,1698721420
239,inari,68.906,27.0288,17.8,95,98,3.94,FI,1698721420
240,port augusta,-32.5,137.7667,70.11,36,20,11.56,AU,1698721358
241,tanjung sepat,2.6579,101.5629,87.94,70,20,2.3,MY,1698721420
242,kodinsk,58.6881,99.1844,14.43,62,5,5.32,RU,1698721421
243,thai binh,20.45,106.3333,82.56,56,39,6.26,VN,1698721421
244,ma'rib,15.4591,45.3253,74.88,51,97,7.09,YE,1698721421
245,verkhniy baskunchak,48.2256,46.7217,45.52,78,90,9.73,RU,1698721421
246,musoma,-1.5,33.8,68.25,80,74,8.55,TZ,1698721421
247,hasaki,35.7333,140.8333,72.28,53,23,5.7,JP,1698721421
248,sungailiat,-1.85,106.1333,84.47,69,65,10.38,ID,1698721422
249,salinopolis,-0.6136,-47.3561,79.81,80,61,8.63,BR,1698721422
250,sorong,-0.8833,131.25,83.46,73,92,8.93,ID,1698721422
251,keren,15.7778,38.4581,67.44,79,100,5.53,ER,1698721422
252,lihue,21.9789,-159.3672,78.37,83,83,5.61,US,1698721422
253,suda,59.1525,37.5582,23.07,95,77,2.57,RU,1698721422
254,kloulklubed,7.0419,134.2556,83.41,73,22,5.14,PW,1698721422
255,maraba,-5.3686,-49.1178,82.58,74,47,3.44,BR,1698721423
256,mar del plata,-38.0023,-57.5575,51.94,71,0,3.44,AR,1698721266
257,villa dolores,-31.9459,-65.1896,59.94,39,73,3.18,AR,1698721423
258,leh,34.1667,77.5833,37.26,31,0,0.56,IN,1698721423
259,dalandzadgad,43.5708,104.425,49.55,49,76,8.97,MN,1698721423
260,chandler,33.3062,-111.8412,72.46,25,0,8.05,US,1698721424
261,pearsall,28.8922,-99.095,49.39,50,100,13.53,US,1698721424
262,kenai,60.5544,-151.2583,41.09,82,53,6.06,US,1698721424
263,corinto,37.9407,22.9573,65.48,71,0,3.36,GR,1698721424
264,tual,-5.6667,132.75,81.63,80,42,7.67,ID,1698721424
265,aksu,41.1231,80.2644,59.23,30,100,1.63,CN,1698721424
266,saint-philippe,-21.3585,55.7679,76.59,77,16,9.62,RE,1698721425
267,luderitz,-26.6481,15.1594,61.3,47,2,5.73,NA,1698721425
268,santander,43.4647,-3.8044,56.52,67,0,9.22,ES,1698721425
269,san juan,-31.5375,-68.5364,60.15,25,1,10.07,AR,1698721175
270,igrim,63.1906,64.4162,16.99,81,100,6.31,RU,1698721425
271,kiruna,67.8557,20.2251,7.72,92,28,6.91,SE,1698721425
272,kotputli,27.7167,76.2,78.06,37,2,2.84,IN,1698721426
273,ust-nera,64.5667,143.2,10.53,98,100,5.17,RU,1698721426
274,kokstad,-30.5472,29.4241,43.79,87,100,2.39,ZA,1698721426
275,saint-felicien,48.6501,-72.4491,30.88,93,75,13.8,CA,1698721320
276,okotoks,50.7289,-113.9828,32.13,96,100,5.06,CA,1698721206
277,vila velha,-20.3297,-40.2925,78.75,78,0,12.66,BR,1698721247
278,petropavlovsk-kamchatsky,53.0452,158.6483,43.39,62,0,13.42,RU,1698721426
279,nadym,65.5333,72.5167,8.46,92,89,7.94,RU,1698721427
280,laguna,38.421,-121.4238,62.31,50,0,4.61,US,1698721427
281,san antonio de pale,-1.4014,5.6325,79.38,84,100,14.29,GQ,1698721427
282,aonla,28.2833,79.15,73.89,46,2,2.26,IN,1698721427
283,taulaga,-11.0553,-171.0883,83.21,78,52,20.0,AS,1698721427
284,hovd,48.0056,91.6419,46.11,47,75,5.97,MN,1698721427
